business_id,name,address,state,postal_code,stars,city,categories
EwMDn8g-_BF_rEf6FFumrQ,Chung Wah,196 Border St,MA,02128,3.5,BOSTON,American
lXGogC16Y8Sriy8obN3CBA,Jamie’s On Union,70 Union St,MA,02459,3.5,NEWTON,American
SvZIKX4BD0pVnOBwrr47_g,Casa Pizza,62 Lambert St,MA,02155,3.0,MEDFORD,American
SW5Zr-Dk0kQ7HP4UyNxssA,Simple Fare,460 High St,MA,02155,4.5,MEDFORD,American
TzQ3dwyTq5kqmZwfpoOVWA,Annie's Pizzeria,213 Middlesex Ave,MA,02155,4.0,MEDFORD,American
5OF7qUSvvENIL_lmn-Zm5g,Tamper,340 Boston Ave,MA,02155,4.0,MEDFORD,American
bdeu1oJFn_b7LEsb0M-U5w,Noodles & Company,491 Riverside Ave,MA,02155,3.5,MEDFORD,American
ncAMUYsCZ3tAVCUyeuNlgQ,Jim's Market,463 Fulton St,MA,02155,4.5,MEDFORD,American
ncQZlGcyc4VGBbT4Yf1fbQ,Kelly's Roast Beef,35 Revere Beach Pkwy Rt 16 E,MA,02155,3.0,MEDFORD,American
ajiVfSa0wEn2Yi8EJ0VY8Q,Tasty Gourmet,321 Boston Ave,MA,02155,3.5,MEDFORD,American
FHFZ6WDDu-fv5lVFuLtQPg,Boston Market,616 Fellsway,MA,02155,3.0,MEDFORD,American
1O164Q5qXuHYOenT91J1gA,Classic Cafe,174 Spring St,MA,02155,4.0,MEDFORD,American
8LimAj7LMy6HZ4wXEedRIg,Old Country Buffet,3850 Mystic Valley Pkwy,MA,02155,2.5,MEDFORD,American
St_voJD_n-LYSQUsc5Pdxw,Colleen's Ice Cream & Sandwich Shop,61 High St,MA,02155,3.0,MEDFORD,American
ek-lwfIZ7b-K31w_x0EzjA,LongCross Bar & Kitchen,501 Fellsway,MA,02155,4.5,MEDFORD,American
ytp8c5WHG0vkSwt3Ya0X9A,Raso's Grille,209 Mystic Ave,MA,02155,4.0,MEDFORD,American
ncBpwiVsW61DLoJAhTwgfg,Lee's Burger Place,216 Sumner St,MA,02459,4.5,NEWTON,American
SqxZZ3GY-vKQnWj1PIserw,Carroll's,21 Main St,MA,02155,3.0,MEDFORD,American
h4ap6lia5kEqQBOL5epMTQ,Villaggio Restaurant & Tavern,"The Manning Manse, 56 Chelmsford Rd Rt 129",MA,01862,2.5,BILLERICA,American
OBBAsx2lhJD5OiVYyKNkVA,Peppercorns Family Restaurant,279 Boston Rd,MA,01862,2.0,BILLERICA,American
tirBpLAxEAfcLMUkXrZ5TQ,Joe's American Bar & Grill,985 Providence Hwy,MA,02026,3.0,DEDHAM,American
sGTBd8o3i6f0SCnvK_UCQA,IHOP,1850 Soldiers Field Rd,MA,02135,2.5,BRIGHTON,American
obchntFQuB4qaVoBZCdk0Q,Roggie's,356 Chestnut Hill Ave,MA,02135,3.0,BRIGHTON,American
jOE4d9iUEo3qZ3mlOLUXvQ,Oliveira's Deli Market,243 Faneuil St,MA,02135,4.5,BRIGHTON,American
dh_jf3deVB-rohvC-bZKjA,Mandy & Joe's,328 Washington St,MA,02135,3.5,BRIGHTON,American
B0ZTztL-vjgm2Tc1ZxSbHg,Stockyard Restaurant,135 Market St,MA,02135,4.0,BRIGHTON,American
ShtAGTj8U0GnvI0lbFrgEQ,Tonic,1316 Commonwealth Avenue,MA,02135,2.5,BRIGHTON,American
7XfzSYcFOunKlwbqeyE2vA,Andalus Pizza & Cafe,153 Sutherland Rd,MA,02135,3.0,BRIGHTON,American
Vnq-kO_VO-gLFM4ItffzzA,Devlin's,332 Washington St,MA,02135,3.5,BRIGHTON,American
3kUWjyRGWc_RUGDw9X3qUw,Eagle's Deli,1918 Beacon St,MA,02135,3.5,BRIGHTON,American
V_TEvIfCvghLnydIIxQKtg,Brighton Beer Garden,386 Market St,MA,02135,2.5,BRIGHTON,American
0PhIcyf4w2ZgESuMdN6Ebw,Mashawi Grill,157 Sutherland Rd,MA,02135,3.0,BRIGHTON,American
E3DdyR6aT7NpLNN39cMTcQ,Harry's Bar & Grill,1430 Commonwealth Ave,MA,02135,4.0,BRIGHTON,American
qza75LlewFA_kTRPqIgebQ,Applebee's,381 Chestnut Hill Ave,MA,02135,2.5,BRIGHTON,American
yTamoMnnejzTlq5Lo6yMJQ,Green Briar Restaurant & Pub,304 Washington St,MA,02135,3.5,BRIGHTON,American
y1kmrgOOh5be-lUMqwqUrg,Wicked Cheesy,240 Nashua Rd,MA,01862,3.5,BILLERICA,American
mpBS1SGGUJN3SZ24axK0iQ,Olde Colonial Café,171 Nahatan St,MA,02062,4.0,NORWOOD,American
fRWeaaj6QIIWe0ncfnfU7w,Jake n JOES Sports Grille - Norwood,475 Boston Providence Hwy,MA,02062,3.0,NORWOOD,American
0uubXkgwQgxSk97FQxYfag,TGI Friday's,1345 Providence Hwy,MA,02062,2.5,NORWOOD,American
LVIWYqToiQajq1U6b7C0iw,Anthony's Coal Fired Pizza,48 Walkers Brook Dr,MA,01867,3.5,READING,American
etmd1IKjJZlsW8yiO7cX8g,Chili's,70 Walkers Brook Dr,MA,01867,3.0,READING,American
qtkMhxG2LIAXsyiyxP6d2g,Fuddruckers,50 Walkers Brook Dr,MA,01867,3.5,READING,American
lCUDJs7wKtb7BltiLRphWQ,LongHorn Steakhouse,39 Walkers Brook Dr,MA,01867,3.0,READING,American
7aRSTHD7BsZ2GlDrt2yvhA,Grumpy's Ale House,530 Main St,MA,01867,3.5,READING,American
bhDu55-msqGQcT1bmgizsg,Tew-Mac Tavern,1880 Main St,MA,01876,4.0,TEWKSBURY,American
EnOCgOH0J0XtvefhKnRyTw,Jon Ryan's Pub,1795 Main St,MA,01876,3.5,TEWKSBURY,American
k6HN0FE8NC8vV1sZuu0O4g,Piccadilly Pub,1795 Main St,MA,01876,3.5,TEWKSBURY,American
QDWjbcMQZ34DNffkf_7dMQ,Mavericks Restaurant & Lounge,2212 Main St,MA,01876,3.5,TEWKSBURY,American
WTgJhMAnJV6h5259ia3gXw,TJ Callahan's Pub,1475 Main St,MA,01876,3.5,TEWKSBURY,American
YHr48QF3ebS8y4HaFgZCyQ,Dockside Restaurant,1099 Main St,MA,01880,3.0,WAKEFIELD,American
0ggZP6mr7_OcWKJrI-KJ2Q,The Chuck Wagon Diner,61 New Salem St,MA,01880,4.5,WAKEFIELD,American
CeWxEtEu5q3F1h9-e0dEGg,Maya Indian Bar and Grill,33 Tuttle St,MA,01880,4.5,WAKEFIELD,American
