categories,New_Categories
Creperies                     ,Creperies                     
Cajun/Creole                  ,Cajun/Creole                  
Meat Shops                    ,Meat Shops                    
Chicken Shop                  ,Chicken Shop                  
Active Life                   ,Active Life                   
Seafood Markets               ,Seafood Markets               
Tapas Bars                    ,Tapas Bars                    
Hotels                        ,Hotels                        
Convenience Stores            ,Convenience Stores            
Gastropubs                    ,Gastropubs                    
Local Flavor                  ,Local Flavor                  
Hotels & Travel               ,Hotels & Travel               
Brazilian                     ,Brazilian                     
Tex-Mex                       ,Tex-Mex                       
Spanish                       ,Spanish                       
Wraps                         ,Wraps                         
Shopping                      ,Shopping                      
Buffets                       ,Buffets                       
Halal                         ,Halal                         
Tapas/Small Plates            ,Tapas/Small Plates            
Comfort Food                  ,Comfort Food                  
Noodles                       ,Noodles                       
Ethnic Food                   ,Ethnic Food                   
Irish                         ,Irish                         
French                        ,French                        
Venues & Event Spaces         ,Venues & Event Spaces         
Donuts                        ,Donuts                        
Greek                         ,Greek                         
Caribbean                     ,Caribbean                     
Grocery                       ,Grocery                       
Food Delivery Services        ,Food Delivery Services        
Arts & Entertainment          ,Arts & Entertainment          
Barbeque                      ,Barbeque                      
Middle Eastern                ,Middle Eastern                
Bagels                        ,Bagels                        
Vegan                         ,Vegan                         
Gluten-Free                   ,Gluten-Free                   
Latin American                ,Latin American                
Steakhouses                   ,Steakhouses                   
Sports Bars                   ,Sports Bars                   
Ice Cream & Frozen Yogurt     ,Ice Cream & Frozen Yogurt     
Diners                        ,Diners                        
Soup                          ,Soup                          
Vegetarian                    ,Vegetarian                    
Chicken Wings                 ,Chicken Wings                 
Mediterranean                 ,Mediterranean                 
Desserts                      ,Desserts                      
Specialty Food                ,Specialty Food                
Caterers                      ,Caterers                      
Bakeries                      ,Bakeries                      
Event Planning & Services     ,Event Planning & Services     
Salad                         ,Salad                         
Seafood                       ,Seafood                       
Breakfast & Brunch            ,Breakfast & Brunch            
American (Traditional)        ,American
American (New)                ,American
Burgers                       ,American
Fast Food                     ,American
Southern                      ,American
Asian Fusion                  ,Asian Fusion
Thai                          ,Asian Fusion
Indian                        ,Asian Fusion
Vietnamese                    ,Asian Fusion
Korean                        ,Asian Fusion
Pakistani                     ,Asian Fusion
Taiwanese                     ,Asian Fusion
Chinese                       ,Chinese
Szechuan                      ,Chinese
Dim Sum                       ,Chinese
Hot Pot                       ,Chinese
Coffee & Tea                  ,Coffee & Tea
Cafes                         ,Coffee & Tea
Bubble Tea                    ,Coffee & Tea
Sandwiches                    ,Fast Food
Delis                         ,Fast Food
Food Trucks                   ,Fast Food
Hot Dogs                      ,Fast Food
Food Stands                   ,Fast Food
Italian                       ,Italian
Pizza                         ,Italian
Japanese                      ,Japanese
Sushi Bars                    ,Japanese
Ramen                         ,Japanese
Mexican                       ,Mexican
Tacos                         ,Mexican
Nightlife                     ,Pubs & Bars
Bars                          ,Pubs & Bars
Cocktail Bars                 ,Pubs & Bars
Pubs                          ,Pubs & Bars
Juice Bars & Smoothies        ,Pubs & Bars
Wine & Spirits                ,Pubs & Bars
Wine Bars                     ,Pubs & Bars
Beer                          ,Pubs & Bars
Lounges                       ,Pubs & Bars
Music Venues                  ,Pubs & Bars
Beer Bar                      ,Pubs & Bars
Dance Clubs                   ,Pubs & Bars
Irish Pub                     ,Pubs & Bars
Dive Bars                     ,Pubs & Bars
