city,categories,count
BOSTON,American,924
BOSTON,Others,456
BOSTON,Coffee & Tea,335
BOSTON,Italian,320
BOSTON,Fast Food,319
BOSTON,Asian Fusion,239
CAMBRIDGE,American,229
CAMBRIDGE,Others,132
BOSTON,Chinese,130
CAMBRIDGE,Coffee & Tea,105
CAMBRIDGE,Asian Fusion,105
SOMERVILLE,American,93
QUINCY,American,90
SALEM,American,77
SOMERVILLE,Others,73
CAMBRIDGE,Italian,71
NEWTON,American,68
WALTHAM,American,63
CAMBRIDGE,Fast Food,58
PEABODY,American,56
WOBURN,American,54
BRAINTREE,American,52
SOMERVILLE,Italian,51
BEVERLY,American,51
DORCHESTER,American,51
BURLINGTON,American,51
SOMERVILLE,Coffee & Tea,50
NATICK,American,49
BOSTON,Pubs & Bars,48
DANVERS,American,46
QUINCY,Chinese,44
SOMERVILLE,Asian Fusion,43
WEYMOUTH,American,42
LYNN,American,42
BROOKLINE,Asian Fusion,42
DEDHAM,American,42
QUINCY,Others,41
QUINCY,Italian,40
BROOKLINE,American,40
ALLSTON,Asian Fusion,39
MEDFORD,American,39
NEWTON,Others,39
NORWOOD,American,39
QUINCY,Asian Fusion,39
SAUGUS,American,38
WATERTOWN,American,38
MEDFORD,Italian,37
SOMERVILLE,Fast Food,36
REVERE,American,36
MALDEN,Italian,35
BROOKLINE,Others,35
SALEM,Fast Food,34
MALDEN,American,33
NEWTON,Coffee & Tea,32
SALEM,Italian,32
ALLSTON,American,32
ROXBURY,American,31
WALTHAM,Fast Food,30
BROOKLINE,Coffee & Tea,30
SAUGUS,Italian,30
LYNN,Others,30
REVERE,Others,29
REVERE,Italian,29
PEABODY,Fast Food,29
JAMAICA PLAIN,American,29
WALTHAM,Italian,28
MALDEN,Others,28
WALTHAM,Others,28
BRIGHTON,American,28
BILLERICA,American,28
WEYMOUTH,Italian,28
NEWTON,Fast Food,27
NEWTON,Italian,27
STOUGHTON,American,27
QUINCY,Fast Food,27
BROOKLINE,Italian,27
NEWTON,Asian Fusion,26
EVERETT,Others,26
BEVERLY,Italian,25
WALTHAM,Asian Fusion,25
MALDEN,Chinese,25
MARBLEHEAD,American,25
HOLBROOK,American,24
LYNN,Italian,24
WAKEFIELD,Italian,24
CANTON,American,24
ARLINGTON,Asian Fusion,24
DORCHESTER,Others,24
CAMBRIDGE,Chinese,24
LYNN,Fast Food,23
PEABODY,Others,23
DORCHESTER,Italian,23
ALLSTON,Others,23
SALEM,Others,23
RANDOLPH,American,23
ROXBURY,Others,23
ROSLINDALE,American,23
EVERETT,American,23
JAMAICA PLAIN,Coffee & Tea,23
NORWOOD,Italian,23
BURLINGTON,Asian Fusion,23
SOMERVILLE,Chinese,23
BROOKLINE,Fast Food,22
BEVERLY,Others,22
ARLINGTON,Italian,22
WATERTOWN,Others,22
NATICK,Italian,22
QUINCY,Coffee & Tea,21
HINGHAM,American,21
NATICK,Others,21
BRIGHTON,Italian,21
WOBURN,Fast Food,21
ALLSTON,Coffee & Tea,21
WATERTOWN,Fast Food,20
ROXBURY,Fast Food,20
WAKEFIELD,American,20
DANVERS,Italian,20
MEDFORD,Fast Food,20
EVERETT,Italian,20
PEABODY,Italian,20
DORCHESTER,Asian Fusion,20
BURLINGTON,Others,20
ARLINGTON,Others,20
BROOKLINE,Chinese,19
MALDEN,Asian Fusion,19
WATERTOWN,Italian,19
BEVERLY,Coffee & Tea,19
NORWOOD,Others,18
ARLINGTON,American,18
BEVERLY,Fast Food,18
DANVERS,Fast Food,18
SALEM,Coffee & Tea,18
NEEDHAM,Others,18
BURLINGTON,Italian,17
WATERTOWN,Asian Fusion,17
NEWTON,Chinese,17
JAMAICA PLAIN,Others,17
WOBURN,Italian,17
ROSLINDALE,Others,17
NATICK,Coffee & Tea,17
MEDFORD,Others,17
BILLERICA,Fast Food,17
LYNN,Coffee & Tea,17
BRIGHTON,Fast Food,17
SAUGUS,Fast Food,16
NATICK,Fast Food,16
STONEHAM,American,16
BEDFORD,American,16
FRAMINGHAM,American,16
READING,Fast Food,16
WEYMOUTH,Others,16
RANDOLPH,Italian,16
BRIGHTON,Coffee & Tea,16
WOBURN,Asian Fusion,16
SWAMPSCOTT,American,15
WEYMOUTH,Fast Food,15
ARLINGTON,Fast Food,15
NEEDHAM,American,15
ROXBURY,Coffee & Tea,15
WILMINGTON,American,15
BRAINTREE,Asian Fusion,15
PEABODY,Coffee & Tea,15
JAMAICA PLAIN,Italian,15
LEXINGTON,American,15
LEXINGTON,Asian Fusion,15
DORCHESTER,Chinese,15
NEEDHAM,Fast Food,15
MALDEN,Fast Food,15
WOBURN,Others,15
CHELSEA,Others,15
CHESTNUT HILL,American,15
WALTHAM,Coffee & Tea,15
BELMONT,Coffee & Tea,15
WALPOLE,American,15
DEDHAM,Others,15
READING,American,15
CONCORD,American,15
BRAINTREE,Fast Food,15
MEDFORD,Coffee & Tea,14
LYNN,Asian Fusion,14
MIDDLETON,American,14
NORTH READING,American,14
ROXBURY,Italian,14
MEDFORD,Chinese,14
ALLSTON,Fast Food,14
SALEM,Chinese,14
WELLESLEY,American,14
HOLBROOK,Italian,14
JAMAICA PLAIN,Fast Food,14
STOUGHTON,Italian,14
CHELSEA,American,13
RANDOLPH,Asian Fusion,13
BRIGHTON,Asian Fusion,13
CHARLESTOWN,American,13
DORCHESTER,Fast Food,13
BRAINTREE,Others,13
ALLSTON,Chinese,13
WALTHAM,Chinese,13
EVERETT,Fast Food,13
NATICK,Asian Fusion,13
ALLSTON,Italian,13
BURLINGTON,Coffee & Tea,13
NORWOOD,Coffee & Tea,13
CANTON,Fast Food,13
BELMONT,Others,13
WILMINGTON,Fast Food,13
REVERE,Fast Food,13
LYNNFIELD,American,12
BRAINTREE,Italian,12
NORWOOD,Asian Fusion,12
WELLESLEY,Fast Food,12
CHELSEA,Italian,12
PEABODY,Chinese,12
ROSLINDALE,Italian,12
SAUGUS,Others,12
HYDE PARK,American,12
ROXBURY,Asian Fusion,11
MELROSE,Italian,11
BELMONT,Italian,11
RANDOLPH,Others,11
MARBLEHEAD,Coffee & Tea,11
SALEM,Asian Fusion,11
WINTHROP,Italian,11
MEDFORD,Asian Fusion,11
WILMINGTON,Italian,11
MELROSE,American,11
BURLINGTON,Fast Food,11
JAMAICA PLAIN,Asian Fusion,11
DEDHAM,Italian,11
WELLESLEY,Coffee & Tea,11
DEDHAM,Fast Food,11
HOLBROOK,Others,11
CONCORD,Italian,11
WAKEFIELD,Asian Fusion,11
HINGHAM,Coffee & Tea,11
WELLESLEY,Italian,11
ARLINGTON,Chinese,10
ARLINGTON,Coffee & Tea,10
LEXINGTON,Italian,10
TEWKSBURY,American,10
NORWELL,American,10
NORWOOD,Fast Food,10
MATTAPAN,Others,10
COHASSET,American,10
BELMONT,Asian Fusion,10
TEWKSBURY,Italian,10
WELLESLEY,Others,10
BRIGHTON,Chinese,10
BRIGHTON,Others,10
BILLERICA,Italian,10
PEABODY,Asian Fusion,10
WEYMOUTH,Chinese,10
DANVERS,Coffee & Tea,9
