city,total_true,total_fake
ALLSTON,21686,360
ANDOVER,112,1
ARLINGTON,8070,140
AUBURNDALE,154,7
AVON,133,5
BACK BAY,746,66
BEDFORD,2945,77
BELMONT,4332,48
BEVERLY,7577,133
BILLERICA,3591,79
BOSTON,381595,13253
BRAINTREE,8095,239
BRIGHTON,12787,317
BROCKTON,305,12
BROOKLINE,28468,590
BURLINGTON,14241,347
CAMBRIDGE,116263,2956
CANTON,2238,45
CARLISLE,70,0
CHARLESTOWN,3392,60
CHELSEA,2748,62
CHESTNUT HILL,5079,89
COHASSET,931,40
CONCORD,3018,80
DANVERS,5385,108
DEDHAM,6685,165
DORCHESTER,8936,186
DOVER,38,0
EVERETT,3654,109
FRAMINGHAM,3869,125
FRANKLIN,11,1
HANOVER,5,0
HANSCOM AIR FORCE BASE,13,1
HINGHAM,6228,151
HOLBROOK,2826,84
HYDE PARK,786,21
JAMAICA PLAIN,12246,169
JEFFRIES POINT,101,4
LEXINGTON,3853,90
LINCOLN,210,6
LYNN,4931,94
LYNNFIELD,2923,67
MALDEN,10263,184
MARBLEHEAD,2543,41
MATTAPAN,728,14
MEDFIELD,240,7
MEDFORD,11695,235
MELROSE,3867,57
MIDDLETON,1543,36
MILTON,1967,28
MISSION HILL,114,0
NAHANT,376,9
NANTASKET BEACH,8,0
NATICK,9235,281
NEEDHAM,3437,78
NEWTON,18311,312
NORTH ANDOVER,8,0
NORTH READING,1597,33
NORWELL,1192,22
NORWOOD,5636,110
PEABODY,9095,193
QUINCY,22782,391
RANDOLPH,3068,63
READING,3530,75
REVERE,5868,138
ROCKLAND,353,12
ROCKPORT,7,0
ROSLINDALE,4111,61
ROXBURY,6440,109
SALEM,19547,727
SAUGUS,7745,166
SOMERVILLE,49795,1097
STONEHAM,2850,36
STOUGHTON,3134,108
SUDBURY,624,8
SWAMPSCOTT,1691,52
TEWKSBURY,1900,47
WABAN,110,0
WAKEFIELD,4171,93
WALPOLE,1067,27
WALTHAM,18573,398
WATERTOWN,11649,199
WAYLAND,1870,36
WELLESLEY,4403,83
WESTON,632,17
WESTWOOD,1415,35
WEYMOUTH,6429,100
WILMINGTON,1886,28
WINCHESTER,1733,26
WINTHROP,1850,31
WOBURN,9810,227
WOLLASTON,219,3
